solution_id,beneficio
1,126552
2,67780
3,194332
4,14415
5,140967
6,82195
7,208747
8,156706
9,283258
10,224486
11,351038
12,171121
13,297673
14,238901
15,365453
16,161806
17,288358
18,229586
19,356138
20,176221
21,302773
22,244001
23,370553
24,318512
25,445064
26,386292
27,512844
28,332927
29,459479
30,400707
31,527259
32,89535
33,216087
34,157315
35,283867
36,103950
37,230502
38,171730
39,298282
40,246241
41,372793
42,314021
43,440573
44,260656
45,387208
46,328436
47,454988
48,251341
49,377893
50,319121
51,445673
52,265756
53,392308
54,333536
55,460088
56,408047
57,534599
58,475827
59,602379
60,422462
61,549014
62,490242
63,616794
64,22023
65,148575
66,89803
67,216355
68,36438
69,162990
70,104218
71,230770
72,178729
73,305281
74,246509
75,373061
76,193144
77,319696
78,260924
79,387476
80,183829
81,310381
82,251609
83,378161
84,198244
85,324796
86,266024
87,392576
88,340535
89,467087
90,408315
91,534867
92,354950
93,481502
94,422730
95,549282
96,111558
97,238110
98,179338
99,305890
100,125973
101,252525
102,193753
103,320305
104,268264
105,394816
106,336044
107,462596
108,282679
109,409231
110,350459
111,477011
112,273364
113,399916
114,341144
115,467696
116,287779
117,414331
118,355559
119,482111
120,430070
121,556622
122,497850
123,624402
124,444485
125,571037
126,512265
127,638817
128,155015
129,281567
130,222795
131,349347
132,169430
133,295982
134,237210
135,363762
136,311721
137,438273
138,379501
139,506053
140,326136
141,452688
142,393916
143,520468
144,316821
145,443373
146,384601
147,511153
148,331236
149,457788
150,399016
151,525568
152,473527
153,600079
154,541307
155,667859
156,487942
157,614494
158,555722
159,682274
160,244550
161,371102
162,312330
163,438882
164,258965
165,385517
166,326745
167,453297
168,401256
169,527808
170,469036
171,595588
172,415671
173,542223
174,483451
175,610003
176,406356
177,532908
178,474136
179,600688
180,420771
181,547323
182,488551
183,615103
184,563062
185,689614
186,630842
187,757394
188,577477
189,704029
190,645257
191,771809
192,177038
193,303590
194,244818
195,371370
196,191453
197,318005
198,259233
199,385785
200,333744
201,460296
202,401524
203,528076
204,348159
205,474711
206,415939
207,542491
208,338844
209,465396
210,406624
211,533176
212,353259
213,479811
214,421039
215,547591
216,495550
217,622102
218,563330
219,689882
220,509965
221,636517
222,577745
223,704297
224,266573
225,393125
226,334353
227,460905
228,280988
229,407540
230,348768
231,475320
232,423279
233,549831
234,491059
235,617611
236,437694
237,564246
238,505474
239,632026
240,428379
241,554931
242,496159
243,622711
244,442794
245,569346
246,510574
247,637126
248,585085
249,711637
250,652865
251,779417
252,599500
253,726052
254,667280
255,793832
256,5.11261e+07
257,5.12526e+07
258,5.11938e+07
259,5.13204e+07
260,5.11405e+07
261,5.1267e+07
262,5.12082e+07
263,5.13348e+07
264,5.12828e+07
265,5.14093e+07
266,5.13505e+07
267,5.14771e+07
268,5.12972e+07
269,5.14237e+07
270,5.1365e+07
271,5.14915e+07
272,5.12879e+07
273,5.14144e+07
274,5.13556e+07
275,5.14822e+07
276,5.13023e+07
277,5.14288e+07
278,5.13701e+07
279,5.14966e+07
280,5.14446e+07
281,5.15711e+07
282,5.15123e+07
283,5.16389e+07
284,5.1459e+07
285,5.15855e+07
286,5.15268e+07
287,5.16533e+07
288,5.12156e+07
289,5.13421e+07
290,5.12834e+07
291,5.14099e+07
292,5.123e+07
293,5.13566e+07
294,5.12978e+07
295,5.14243e+07
296,5.13723e+07
297,5.14988e+07
298,5.14401e+07
299,5.15666e+07
300,5.13867e+07
301,5.15133e+07
302,5.14545e+07
303,5.1581e+07
304,5.13774e+07
305,5.15039e+07
306,5.14452e+07
307,5.15717e+07
308,5.13918e+07
309,5.15184e+07
310,5.14596e+07
311,5.15861e+07
312,5.15341e+07
313,5.16607e+07
314,5.16019e+07
315,5.17284e+07
316,5.15485e+07
317,5.16751e+07
318,5.16163e+07
319,5.17428e+07
320,5.11481e+07
321,5.12746e+07
322,5.12159e+07
323,5.13424e+07
324,5.11625e+07
325,5.1289e+07
326,5.12303e+07
327,5.13568e+07
328,5.13048e+07
329,5.14313e+07
330,5.13726e+07
331,5.14991e+07
332,5.13192e+07
333,5.14458e+07
334,5.1387e+07
335,5.15135e+07
336,5.13099e+07
337,5.14364e+07
338,5.13777e+07
339,5.15042e+07
340,5.13243e+07
341,5.14509e+07
342,5.13921e+07
343,5.15186e+07
344,5.14666e+07
345,5.15931e+07
346,5.15344e+07
347,5.16609e+07
348,5.1481e+07
349,5.16076e+07
350,5.15488e+07
351,5.16753e+07
352,5.12376e+07
353,5.13642e+07
354,5.13054e+07
355,5.14319e+07
356,5.1252e+07
357,5.13786e+07
358,5.13198e+07
359,5.14464e+07
360,5.13943e+07
361,5.15209e+07
362,5.14621e+07
363,5.15887e+07
364,5.14087e+07
365,5.15353e+07
366,5.14765e+07
367,5.16031e+07
368,5.13994e+07
369,5.1526e+07
370,5.14672e+07
371,5.15938e+07
372,5.14138e+07
373,5.15404e+07
374,5.14816e+07
375,5.16082e+07
376,5.15561e+07
377,5.16827e+07
378,5.16239e+07
379,5.17505e+07
380,5.15705e+07
381,5.16971e+07
382,5.16383e+07
383,5.17649e+07
384,5.12811e+07
385,5.14076e+07
386,5.13488e+07
387,5.14754e+07
388,5.12955e+07
389,5.1422e+07
390,5.13633e+07
391,5.14898e+07
392,5.14378e+07
393,5.15643e+07
394,5.15056e+07
395,5.16321e+07
396,5.14522e+07
397,5.15787e+07
398,5.152e+07
399,5.16465e+07
400,5.14429e+07
401,5.15694e+07
402,5.15107e+07
403,5.16372e+07
404,5.14573e+07
405,5.15838e+07
406,5.15251e+07
407,5.16516e+07
408,5.15996e+07
409,5.17261e+07
410,5.16674e+07
411,5.17939e+07
412,5.1614e+07
413,5.17405e+07
414,5.16818e+07
415,5.18083e+07
416,5.13706e+07
417,5.14972e+07
418,5.14384e+07
419,5.15649e+07
420,5.1385e+07
421,5.15116e+07
422,5.14528e+07
423,5.15794e+07
424,5.15273e+07
425,5.16539e+07
426,5.15951e+07
427,5.17216e+07
428,5.15417e+07
429,5.16683e+07
430,5.16095e+07
431,5.17361e+07
432,5.15324e+07
433,5.1659e+07
434,5.16002e+07
435,5.17267e+07
436,5.15468e+07
437,5.16734e+07
438,5.16146e+07
439,5.17412e+07
440,5.16891e+07
441,5.18157e+07
442,5.17569e+07
443,5.18834e+07
444,5.17035e+07
445,5.18301e+07
446,5.17713e+07
447,5.18979e+07
448,5.13031e+07
449,5.14296e+07
450,5.13709e+07
451,5.14974e+07
452,5.13175e+07
453,5.14441e+07
454,5.13853e+07
455,5.15118e+07
456,5.14598e+07
457,5.15864e+07
458,5.15276e+07
459,5.16541e+07
460,5.14742e+07
461,5.16008e+07
462,5.1542e+07
463,5.16685e+07
464,5.14649e+07
465,5.15915e+07
466,5.15327e+07
467,5.16592e+07
468,5.14793e+07
469,5.16059e+07
470,5.15471e+07
471,5.16736e+07
472,5.16216e+07
473,5.17482e+07
474,5.16894e+07
475,5.18159e+07
476,5.1636e+07
477,5.17626e+07
478,5.17038e+07
479,5.18304e+07
480,5.13926e+07
481,5.15192e+07
482,5.14604e+07
483,5.1587e+07
484,5.1407e+07
485,5.15336e+07
486,5.14748e+07
487,5.16014e+07
488,5.15493e+07
489,5.16759e+07
490,5.16171e+07
491,5.17437e+07
492,5.15637e+07
493,5.16903e+07
494,5.16315e+07
495,5.17581e+07
496,5.15544e+07
497,5.1681e+07
498,5.16222e+07
499,5.17488e+07
500,5.15688e+07
501,5.16954e+07
502,5.16366e+07
503,5.17632e+07
504,5.17111e+07
505,5.18377e+07
506,5.17789e+07
507,5.19055e+07
508,5.17256e+07
509,5.18521e+07
510,5.17933e+07
511,5.19199e+07
512,5.11146e+07
513,5.12411e+07
514,5.11824e+07
515,5.13089e+07
516,5.1129e+07
517,5.12556e+07
518,5.11968e+07
519,5.13233e+07
520,5.12713e+07
521,5.13978e+07
522,5.13391e+07
523,5.14656e+07
524,5.12857e+07
525,5.14123e+07
526,5.13535e+07
527,5.148e+07
528,5.12764e+07
529,5.14029e+07
530,5.13442e+07
531,5.14707e+07
532,5.12908e+07
533,5.14174e+07
534,5.13586e+07
535,5.14851e+07
536,5.14331e+07
537,5.15597e+07
538,5.15009e+07
539,5.16274e+07
540,5.14475e+07
541,5.15741e+07
542,5.15153e+07
543,5.16418e+07
544,5.12041e+07
545,5.13307e+07
546,5.12719e+07
547,5.13985e+07
548,5.12185e+07
549,5.13451e+07
550,5.12863e+07
551,5.14129e+07
552,5.13608e+07
553,5.14874e+07
554,5.14286e+07
555,5.15552e+07
556,5.13752e+07
557,5.15018e+07
558,5.1443e+07
559,5.15696e+07
560,5.13659e+07
561,5.14925e+07
562,5.14337e+07
563,5.15603e+07
564,5.13803e+07
565,5.15069e+07
566,5.14481e+07
567,5.15747e+07
568,5.15226e+07
569,5.16492e+07
570,5.15904e+07
571,5.1717e+07
572,5.15371e+07
573,5.16636e+07
574,5.16048e+07
575,5.17314e+07
576,5.11366e+07
577,5.12632e+07
578,5.12044e+07
579,5.13309e+07
580,5.1151e+07
581,5.12776e+07
582,5.12188e+07
583,5.13454e+07
584,5.12933e+07
585,5.14199e+07
586,5.13611e+07
587,5.14876e+07
588,5.13077e+07
589,5.14343e+07
590,5.13755e+07
591,5.15021e+07
592,5.12984e+07
593,5.1425e+07
594,5.13662e+07
595,5.14928e+07
596,5.13128e+07
597,5.14394e+07
598,5.13806e+07
599,5.15072e+07
600,5.14551e+07
601,5.15817e+07
602,5.15229e+07
603,5.16495e+07
604,5.14695e+07
605,5.15961e+07
606,5.15373e+07
607,5.16639e+07
608,5.12261e+07
609,5.13527e+07
610,5.12939e+07
611,5.14205e+07
612,5.12406e+07
613,5.13671e+07
614,5.13083e+07
615,5.14349e+07
616,5.13829e+07
617,5.15094e+07
618,5.14506e+07
619,5.15772e+07
620,5.13973e+07
621,5.15238e+07
622,5.1465e+07
623,5.15916e+07
624,5.1388e+07
625,5.15145e+07
626,5.14557e+07
627,5.15823e+07
628,5.14024e+07
629,5.15289e+07
630,5.14701e+07
631,5.15967e+07
632,5.15447e+07
633,5.16712e+07
634,5.16124e+07
635,5.1739e+07
636,5.15591e+07
637,5.16856e+07
638,5.16269e+07
639,5.17534e+07
640,5.12696e+07
641,5.13962e+07
642,5.13374e+07
643,5.14639e+07
644,5.1284e+07
645,5.14106e+07
646,5.13518e+07
647,5.14784e+07
648,5.14263e+07
649,5.15529e+07
650,5.14941e+07
651,5.16206e+07
652,5.14407e+07
653,5.15673e+07
654,5.15085e+07
655,5.16351e+07
656,5.14314e+07
657,5.1558e+07
658,5.14992e+07
659,5.16257e+07
660,5.14458e+07
661,5.15724e+07
662,5.15136e+07
663,5.16402e+07
664,5.15881e+07
665,5.17147e+07
666,5.16559e+07
667,5.17824e+07
668,5.16025e+07
669,5.17291e+07
670,5.16703e+07
671,5.17969e+07
672,5.13591e+07
673,5.14857e+07
674,5.14269e+07
675,5.15535e+07
676,5.13736e+07
677,5.15001e+07
678,5.14413e+07
679,5.15679e+07
680,5.15158e+07
681,5.16424e+07
682,5.15836e+07
683,5.17102e+07
684,5.15303e+07
685,5.16568e+07
686,5.1598e+07
687,5.17246e+07
688,5.15209e+07
689,5.16475e+07
690,5.15887e+07
691,5.17153e+07
692,5.15354e+07
693,5.16619e+07
694,5.16031e+07
695,5.17297e+07
696,5.16777e+07
697,5.18042e+07
698,5.17454e+07
699,5.1872e+07
700,5.16921e+07
701,5.18186e+07
702,5.17598e+07
703,5.18864e+07
704,5.12916e+07
705,5.14182e+07
706,5.13594e+07
707,5.1486e+07
708,5.1306e+07
709,5.14326e+07
710,5.13738e+07
711,5.15004e+07
712,5.14483e+07
713,5.15749e+07
714,5.15161e+07
715,5.16427e+07
716,5.14627e+07
717,5.15893e+07
718,5.15305e+07
719,5.16571e+07
720,5.14534e+07
721,5.158e+07
722,5.15212e+07
723,5.16478e+07
724,5.14678e+07
725,5.15944e+07
726,5.15356e+07
727,5.16622e+07
728,5.16101e+07
729,5.17367e+07
730,5.16779e+07
731,5.18045e+07
732,5.16246e+07
733,5.17511e+07
734,5.16923e+07
735,5.18189e+07
736,5.13812e+07
737,5.15077e+07
738,5.14489e+07
739,5.15755e+07
740,5.13956e+07
741,5.15221e+07
742,5.14634e+07
743,5.15899e+07
744,5.15379e+07
745,5.16644e+07
746,5.16056e+07
747,5.17322e+07
748,5.15523e+07
749,5.16788e+07
750,5.16201e+07
751,5.17466e+07
752,5.1543e+07
753,5.16695e+07
754,5.16107e+07
755,5.17373e+07
756,5.15574e+07
757,5.16839e+07
758,5.16252e+07
759,5.17517e+07
760,5.16997e+07
761,5.18262e+07
762,5.17675e+07
763,5.1894e+07
764,5.17141e+07
765,5.18406e+07
766,5.17819e+07
767,5.19084e+07
768,-1
769,-1
770,-1
771,-1
772,-1
773,-1
774,-1
775,-1
776,-1
777,-1
778,-1
779,-1
780,-1
781,-1
782,-1
783,-1
784,-1
785,-1
786,-1
787,-1
788,-1
789,-1
790,-1
791,-1
792,-1
793,-1
794,-1
795,-1
796,-1
797,-1
798,-1
799,-1
800,-1
801,-1
802,-1
803,-1
804,-1
805,-1
806,-1
807,-1
808,-1
809,-1
810,-1
811,-1
812,-1
813,-1
814,-1
815,-1
816,-1
817,-1
818,-1
819,-1
820,-1
821,-1
822,-1
823,-1
824,-1
825,-1
826,-1
827,-1
828,-1
829,-1
830,-1
831,-1
832,-1
833,-1
834,-1
835,-1
836,-1
837,-1
838,-1
839,-1
840,-1
841,-1
842,-1
843,-1
844,-1
845,-1
846,-1
847,-1
848,-1
849,-1
850,-1
851,-1
852,-1
853,-1
854,-1
855,-1
856,-1
857,-1
858,-1
859,-1
860,-1
861,-1
862,-1
863,-1
864,-1
865,-1
866,-1
867,-1
868,-1
869,-1
870,-1
871,-1
872,-1
873,-1
874,-1
875,-1
876,-1
877,-1
878,-1
879,-1
880,-1
881,-1
882,-1
883,-1
884,-1
885,-1
886,-1
887,-1
888,-1
889,-1
890,-1
891,-1
892,-1
893,-1
894,-1
895,-1
896,-1
897,-1
898,-1
899,-1
900,-1
901,-1
902,-1
903,-1
904,-1
905,-1
906,-1
907,-1
908,-1
909,-1
910,-1
911,-1
912,-1
913,-1
914,-1
915,-1
916,-1
917,-1
918,-1
919,-1
920,-1
921,-1
922,-1
923,-1
924,-1
925,-1
926,-1
927,-1
928,-1
929,-1
930,-1
931,-1
932,-1
933,-1
934,-1
935,-1
936,-1
937,-1
938,-1
939,-1
940,-1
941,-1
942,-1
943,-1
944,-1
945,-1
946,-1
947,-1
948,-1
949,-1
950,-1
951,-1
952,-1
953,-1
954,-1
955,-1
956,-1
957,-1
958,-1
959,-1
960,-1
961,-1
962,-1
963,-1
964,-1
965,-1
966,-1
967,-1
968,-1
969,-1
970,-1
971,-1
972,-1
973,-1
974,-1
975,-1
976,-1
977,-1
978,-1
979,-1
980,-1
981,-1
982,-1
983,-1
984,-1
985,-1
986,-1
987,-1
988,-1
989,-1
990,-1
991,-1
992,-1
993,-1
994,-1
995,-1
996,-1
997,-1
998,-1
999,-1
1000,-1
1001,-1
1002,-1
1003,-1
1004,-1
1005,-1
1006,-1
1007,-1
1008,-1
1009,-1
1010,-1
1011,-1
1012,-1
1013,-1
1014,-1
1015,-1
1016,-1
1017,-1
1018,-1
1019,-1
1020,-1
1021,-1
1022,-1
1023,-1
